date,/m/01s2xh
2020-02-01,0
2020-02-02,39
2020-02-03,17
2020-02-04,0
2020-02-05,20
2020-02-06,0
2020-02-07,21
2020-02-08,35
2020-02-09,18
2020-02-10,28
2020-02-11,39
2020-02-12,19
2020-02-13,29
2020-02-14,0
2020-02-15,22
2020-02-16,19
2020-02-17,19
2020-02-18,19
2020-02-19,58
2020-02-20,20
2020-02-21,0
2020-02-22,0
2020-02-23,20
2020-02-24,25
2020-02-25,47
2020-02-26,27
2020-02-27,18
2020-02-28,20
2020-02-29,27
2020-03-01,38
2020-03-02,37
2020-03-03,26
2020-03-04,38
2020-03-05,39
2020-03-06,46
2020-03-07,0
2020-03-08,19
2020-03-09,18
2020-03-10,30
2020-03-11,24
2020-03-12,27
2020-03-13,29
2020-03-14,100
2020-03-15,33
2020-03-16,58
2020-03-17,36
2020-03-18,46
2020-03-19,27
2020-03-20,0
2020-03-21,25
2020-03-22,19
2020-03-23,21
2020-03-24,17
2020-03-25,44
2020-03-26,26
2020-03-27,16
2020-03-28,28
2020-03-29,35
2020-03-30,16
2020-03-31,0
2020-04-01,33
2020-04-02,0
2020-04-03,41
2020-04-04,0
2020-04-05,20
2020-04-06,17
2020-04-07,17
2020-04-08,0
2020-04-09,17
2020-04-10,35
2020-04-11,19
2020-04-12,0
2020-04-13,17
2020-04-14,16
2020-04-15,0
2020-04-16,18
2020-04-17,0
2020-04-18,0
2020-04-19,18
2020-04-20,16
2020-04-21,17
2020-04-22,0
2020-04-23,17
2020-04-24,0
2020-04-25,0
2020-04-26,0
2020-04-27,17
2020-04-28,16
2020-04-29,16
2020-04-30,15
2020-05-01,16
2020-05-02,17
2020-05-03,26
2020-05-04,16
2020-05-05,15
2020-05-06,17
2020-05-07,17
2020-05-08,0
2020-05-09,0
2020-05-10,0
2020-05-11,0
2020-05-12,0
2020-05-13,16
2020-05-14,17
2020-05-15,0
2020-05-16,0
2020-05-17,0
2020-05-18,0
2020-05-19,0
2020-05-20,18
2020-05-21,0
2020-05-22,17
2020-05-23,0
2020-05-24,0
2020-05-25,0
2020-05-26,0
2020-05-27,0
2020-05-28,0
2020-05-29,0
2020-05-30,0
2020-05-31,0
