date,/m/084sq
2020-02-01,51
2020-02-02,72
2020-02-03,60
2020-02-04,53
2020-02-05,44
2020-02-06,61
2020-02-07,42
2020-02-08,47
2020-02-09,59
2020-02-10,65
2020-02-11,33
2020-02-12,62
2020-02-13,58
2020-02-14,51
2020-02-15,64
2020-02-16,38
2020-02-17,71
2020-02-18,47
2020-02-19,33
2020-02-20,95
2020-02-21,31
2020-02-22,53
2020-02-23,54
2020-02-24,47
2020-02-25,47
2020-02-26,45
2020-02-27,59
2020-02-28,39
2020-02-29,40
2020-03-01,52
2020-03-02,68
2020-03-03,43
2020-03-04,52
2020-03-05,38
2020-03-06,44
2020-03-07,51
2020-03-08,67
2020-03-09,55
2020-03-10,45
2020-03-11,40
2020-03-12,53
2020-03-13,38
2020-03-14,74
2020-03-15,58
2020-03-16,52
2020-03-17,48
2020-03-18,72
2020-03-19,62
2020-03-20,58
2020-03-21,85
2020-03-22,62
2020-03-23,59
2020-03-24,55
2020-03-25,56
2020-03-26,64
2020-03-27,75
2020-03-28,51
2020-03-29,74
2020-03-30,91
2020-03-31,56
2020-04-01,78
2020-04-02,48
2020-04-03,77
2020-04-04,67
2020-04-05,80
2020-04-06,69
2020-04-07,55
2020-04-08,26
2020-04-09,61
2020-04-10,48
2020-04-11,67
2020-04-12,52
2020-04-13,66
2020-04-14,40
2020-04-15,76
2020-04-16,52
2020-04-17,60
2020-04-18,80
2020-04-19,64
2020-04-20,48
2020-04-21,62
2020-04-22,48
2020-04-23,46
2020-04-24,41
2020-04-25,28
2020-04-26,82
2020-04-27,67
2020-04-28,54
2020-04-29,63
2020-04-30,53
2020-05-01,48
2020-05-02,79
2020-05-03,79
2020-05-04,53
2020-05-05,45
2020-05-06,66
2020-05-07,69
2020-05-08,39
2020-05-09,42
2020-05-10,57
2020-05-11,61
2020-05-12,60
2020-05-13,53
2020-05-14,70
2020-05-15,73
2020-05-16,57
2020-05-17,59
2020-05-18,54
2020-05-19,64
2020-05-20,26
2020-05-21,19
2020-05-22,50
2020-05-23,61
2020-05-24,100
2020-05-25,40
2020-05-26,42
2020-05-27,67
2020-05-28,42
2020-05-29,57
2020-05-30,48
2020-05-31,63
