date,/m/01np0n
2020-02-01,47
2020-02-02,23
2020-02-03,30
2020-02-04,53
2020-02-05,46
2020-02-06,24
2020-02-07,24
2020-02-08,25
2020-02-09,42
2020-02-10,43
2020-02-11,66
2020-02-12,22
2020-02-13,45
2020-02-14,24
2020-02-15,50
2020-02-16,37
2020-02-17,33
2020-02-18,29
2020-02-19,66
2020-02-20,57
2020-02-21,32
2020-02-22,24
2020-02-23,46
2020-02-24,33
2020-02-25,44
2020-02-26,73
2020-02-27,42
2020-02-28,46
2020-02-29,35
2020-03-01,22
2020-03-02,21
2020-03-03,22
2020-03-04,51
2020-03-05,56
2020-03-06,60
2020-03-07,40
2020-03-08,37
2020-03-09,43
2020-03-10,35
2020-03-11,49
2020-03-12,28
2020-03-13,52
2020-03-14,46
2020-03-15,68
2020-03-16,100
2020-03-17,27
2020-03-18,56
2020-03-19,48
2020-03-20,84
2020-03-21,51
2020-03-22,37
2020-03-23,25
2020-03-24,50
2020-03-25,47
2020-03-26,27
2020-03-27,37
2020-03-28,36
2020-03-29,61
2020-03-30,49
2020-03-31,28
2020-04-01,29
2020-04-02,56
2020-04-03,28
2020-04-04,22
2020-04-05,54
2020-04-06,57
2020-04-07,40
2020-04-08,54
2020-04-09,61
2020-04-10,72
2020-04-11,45
2020-04-12,66
2020-04-13,67
2020-04-14,38
2020-04-15,19
2020-04-16,20
2020-04-17,70
2020-04-18,66
2020-04-19,40
2020-04-20,37
2020-04-21,19
2020-04-22,47
2020-04-23,26
2020-04-24,19
2020-04-25,76
2020-04-26,60
2020-04-27,49
2020-04-28,18
2020-04-29,36
2020-04-30,18
2020-05-01,31
2020-05-02,39
2020-05-03,48
2020-05-04,47
2020-05-05,35
2020-05-06,39
2020-05-07,34
2020-05-08,67
2020-05-09,44
2020-05-10,34
2020-05-11,18
2020-05-12,38
2020-05-13,19
2020-05-14,19
2020-05-15,34
2020-05-16,22
2020-05-17,57
2020-05-18,46
2020-05-19,26
2020-05-20,41
2020-05-21,45
2020-05-22,58
2020-05-23,40
2020-05-24,34
2020-05-25,19
2020-05-26,30
2020-05-27,39
2020-05-28,65
2020-05-29,62
2020-05-30,45
2020-05-31,23
