date,/m/0_d6n
2020-02-01,40
2020-02-02,51
2020-02-03,74
2020-02-04,61
2020-02-05,46
2020-02-06,37
2020-02-07,39
2020-02-08,38
2020-02-09,67
2020-02-10,39
2020-02-11,50
2020-02-12,45
2020-02-13,66
2020-02-14,48
2020-02-15,61
2020-02-16,54
2020-02-17,50
2020-02-18,50
2020-02-19,37
2020-02-20,54
2020-02-21,43
2020-02-22,39
2020-02-23,31
2020-02-24,66
2020-02-25,34
2020-02-26,57
2020-02-27,47
2020-02-28,56
2020-02-29,42
2020-03-01,50
2020-03-02,47
2020-03-03,55
2020-03-04,29
2020-03-05,30
2020-03-06,25
2020-03-07,27
2020-03-08,30
2020-03-09,29
2020-03-10,47
2020-03-11,66
2020-03-12,28
2020-03-13,23
2020-03-14,51
2020-03-15,82
2020-03-16,27
2020-03-17,28
2020-03-18,28
2020-03-19,46
2020-03-20,79
2020-03-21,74
2020-03-22,60
2020-03-23,87
2020-03-24,54
2020-03-25,64
2020-03-26,76
2020-03-27,46
2020-03-28,54
2020-03-29,96
2020-03-30,62
2020-03-31,55
2020-04-01,77
2020-04-02,96
2020-04-03,55
2020-04-04,100
2020-04-05,53
2020-04-06,47
2020-04-07,62
2020-04-08,50
2020-04-09,77
2020-04-10,65
2020-04-11,45
2020-04-12,95
2020-04-13,87
2020-04-14,97
2020-04-15,49
2020-04-16,45
2020-04-17,72
2020-04-18,66
2020-04-19,54
2020-04-20,97
2020-04-21,92
2020-04-22,64
2020-04-23,48
2020-04-24,61
2020-04-25,66
2020-04-26,71
2020-04-27,61
2020-04-28,61
2020-04-29,70
2020-04-30,56
2020-05-01,89
2020-05-02,57
2020-05-03,55
2020-05-04,76
2020-05-05,79
2020-05-06,56
2020-05-07,59
2020-05-08,50
2020-05-09,83
2020-05-10,51
2020-05-11,44
2020-05-12,51
2020-05-13,47
2020-05-14,61
2020-05-15,77
2020-05-16,75
2020-05-17,77
2020-05-18,26
2020-05-19,67
2020-05-20,32
2020-05-21,40
2020-05-22,48
2020-05-23,45
2020-05-24,46
2020-05-25,51
2020-05-26,47
2020-05-27,31
2020-05-28,33
2020-05-29,37
2020-05-30,45
2020-05-31,46
