date,/m/01j6t0
2020-02-01,54
2020-02-02,65
2020-02-03,77
2020-02-04,51
2020-02-05,51
2020-02-06,31
2020-02-07,31
2020-02-08,47
2020-02-09,34
2020-02-10,76
2020-02-11,22
2020-02-12,65
2020-02-13,43
2020-02-14,46
2020-02-15,48
2020-02-16,50
2020-02-17,28
2020-02-18,64
2020-02-19,71
2020-02-20,59
2020-02-21,62
2020-02-22,24
2020-02-23,52
2020-02-24,49
2020-02-25,35
2020-02-26,47
2020-02-27,48
2020-02-28,77
2020-02-29,75
2020-03-01,50
2020-03-02,54
2020-03-03,64
2020-03-04,53
2020-03-05,36
2020-03-06,65
2020-03-07,46
2020-03-08,43
2020-03-09,55
2020-03-10,41
2020-03-11,81
2020-03-12,100
2020-03-13,36
2020-03-14,30
2020-03-15,44
2020-03-16,71
2020-03-17,40
2020-03-18,51
2020-03-19,79
2020-03-20,38
2020-03-21,28
2020-03-22,50
2020-03-23,71
2020-03-24,39
2020-03-25,46
2020-03-26,39
2020-03-27,63
2020-03-28,63
2020-03-29,78
2020-03-30,72
2020-03-31,48
2020-04-01,49
2020-04-02,48
2020-04-03,55
2020-04-04,86
2020-04-05,68
2020-04-06,37
2020-04-07,38
2020-04-08,32
2020-04-09,39
2020-04-10,39
2020-04-11,22
2020-04-12,50
2020-04-13,47
2020-04-14,18
2020-04-15,28
2020-04-16,49
2020-04-17,49
2020-04-18,38
2020-04-19,84
2020-04-20,36
2020-04-21,50
2020-04-22,49
2020-04-23,44
2020-04-24,19
2020-04-25,42
2020-04-26,76
2020-04-27,63
2020-04-28,41
2020-04-29,71
2020-04-30,23
2020-05-01,30
2020-05-02,44
2020-05-03,66
2020-05-04,69
2020-05-05,62
2020-05-06,68
2020-05-07,19
2020-05-08,52
2020-05-09,63
2020-05-10,46
2020-05-11,63
2020-05-12,79
2020-05-13,24
2020-05-14,62
2020-05-15,39
2020-05-16,43
2020-05-17,44
2020-05-18,82
2020-05-19,45
2020-05-20,20
2020-05-21,79
2020-05-22,47
2020-05-23,39
2020-05-24,59
2020-05-25,48
2020-05-26,19
2020-05-27,44
2020-05-28,38
2020-05-29,46
2020-05-30,43
2020-05-31,88
