date,/m/01k1vd
2020-02-01,43
2020-02-02,52
2020-02-03,51
2020-02-04,64
2020-02-05,53
2020-02-06,30
2020-02-07,69
2020-02-08,50
2020-02-09,88
2020-02-10,55
2020-02-11,74
2020-02-12,46
2020-02-13,64
2020-02-14,80
2020-02-15,57
2020-02-16,40
2020-02-17,57
2020-02-18,68
2020-02-19,68
2020-02-20,100
2020-02-21,49
2020-02-22,57
2020-02-23,36
2020-02-24,45
2020-02-25,45
2020-02-26,43
2020-02-27,54
2020-02-28,35
2020-02-29,72
2020-03-01,29
2020-03-02,43
2020-03-03,77
2020-03-04,45
2020-03-05,98
2020-03-06,29
2020-03-07,62
2020-03-08,57
2020-03-09,39
2020-03-10,65
2020-03-11,43
2020-03-12,69
2020-03-13,64
2020-03-14,59
2020-03-15,35
2020-03-16,54
2020-03-17,95
2020-03-18,27
2020-03-19,42
2020-03-20,30
2020-03-21,51
2020-03-22,52
2020-03-23,33
2020-03-24,36
2020-03-25,47
2020-03-26,41
2020-03-27,62
2020-03-28,33
2020-03-29,73
2020-03-30,43
2020-03-31,43
2020-04-01,15
2020-04-02,62
2020-04-03,44
2020-04-04,51
2020-04-05,30
2020-04-06,34
2020-04-07,41
2020-04-08,47
2020-04-09,47
2020-04-10,24
2020-04-11,52
2020-04-12,40
2020-04-13,49
2020-04-14,48
2020-04-15,15
2020-04-16,39
2020-04-17,46
2020-04-18,56
2020-04-19,57
2020-04-20,48
2020-04-21,30
2020-04-22,42
2020-04-23,65
2020-04-24,65
2020-04-25,28
2020-04-26,64
2020-04-27,55
2020-04-28,51
2020-04-29,76
2020-04-30,50
2020-05-01,63
2020-05-02,80
2020-05-03,53
2020-05-04,41
2020-05-05,45
2020-05-06,60
2020-05-07,73
2020-05-08,31
2020-05-09,45
2020-05-10,53
2020-05-11,37
2020-05-12,80
2020-05-13,34
2020-05-14,35
2020-05-15,36
2020-05-16,40
2020-05-17,47
2020-05-18,45
2020-05-19,92
2020-05-20,52
2020-05-21,35
2020-05-22,79
2020-05-23,52
2020-05-24,63
2020-05-25,39
2020-05-26,31
2020-05-27,76
2020-05-28,40
2020-05-29,53
2020-05-30,57
2020-05-31,53
