date,/m/03c1dkx
2020-02-01,65
2020-02-02,62
2020-02-03,71
2020-02-04,46
2020-02-05,75
2020-02-06,62
2020-02-07,57
2020-02-08,57
2020-02-09,47
2020-02-10,68
2020-02-11,61
2020-02-12,64
2020-02-13,31
2020-02-14,65
2020-02-15,34
2020-02-16,54
2020-02-17,61
2020-02-18,61
2020-02-19,86
2020-02-20,66
2020-02-21,56
2020-02-22,31
2020-02-23,60
2020-02-24,87
2020-02-25,65
2020-02-26,66
2020-02-27,55
2020-02-28,72
2020-02-29,58
2020-03-01,70
2020-03-02,76
2020-03-03,61
2020-03-04,60
2020-03-05,49
2020-03-06,53
2020-03-07,59
2020-03-08,46
2020-03-09,65
2020-03-10,52
2020-03-11,61
2020-03-12,60
2020-03-13,56
2020-03-14,25
2020-03-15,66
2020-03-16,77
2020-03-17,34
2020-03-18,61
2020-03-19,59
2020-03-20,51
2020-03-21,66
2020-03-22,71
2020-03-23,69
2020-03-24,57
2020-03-25,56
2020-03-26,74
2020-03-27,53
2020-03-28,59
2020-03-29,36
2020-03-30,56
2020-03-31,28
2020-04-01,58
2020-04-02,54
2020-04-03,54
2020-04-04,49
2020-04-05,64
2020-04-06,52
2020-04-07,35
2020-04-08,44
2020-04-09,64
2020-04-10,59
2020-04-11,65
2020-04-12,48
2020-04-13,74
2020-04-14,54
2020-04-15,57
2020-04-16,55
2020-04-17,49
2020-04-18,46
2020-04-19,47
2020-04-20,39
2020-04-21,35
2020-04-22,69
2020-04-23,83
2020-04-24,56
2020-04-25,54
2020-04-26,84
2020-04-27,61
2020-04-28,61
2020-04-29,74
2020-04-30,54
2020-05-01,54
2020-05-02,56
2020-05-03,51
2020-05-04,39
2020-05-05,46
2020-05-06,58
2020-05-07,64
2020-05-08,80
2020-05-09,42
2020-05-10,79
2020-05-11,51
2020-05-12,60
2020-05-13,52
2020-05-14,50
2020-05-15,67
2020-05-16,58
2020-05-17,63
2020-05-18,68
2020-05-19,70
2020-05-20,53
2020-05-21,46
2020-05-22,56
2020-05-23,50
2020-05-24,45
2020-05-25,62
2020-05-26,76
2020-05-27,57
2020-05-28,40
2020-05-29,62
2020-05-30,37
2020-05-31,100
