date,/m/01b4_q
2020-02-01,0
2020-02-02,20
2020-02-03,0
2020-02-04,40
2020-02-05,20
2020-02-06,32
2020-02-07,0
2020-02-08,0
2020-02-09,19
2020-02-10,0
2020-02-11,20
2020-02-12,0
2020-02-13,30
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,30
2020-02-19,20
2020-02-20,20
2020-02-21,0
2020-02-22,22
2020-02-23,20
2020-02-24,39
2020-02-25,19
2020-02-26,47
2020-02-27,28
2020-02-28,0
2020-02-29,21
2020-03-01,50
2020-03-02,56
2020-03-03,49
2020-03-04,68
2020-03-05,50
2020-03-06,100
2020-03-07,43
2020-03-08,20
2020-03-09,29
2020-03-10,37
2020-03-11,56
2020-03-12,37
2020-03-13,50
2020-03-14,51
2020-03-15,71
2020-03-16,53
2020-03-17,27
2020-03-18,19
2020-03-19,27
2020-03-20,78
2020-03-21,58
2020-03-22,70
2020-03-23,66
2020-03-24,18
2020-03-25,45
2020-03-26,44
2020-03-27,33
2020-03-28,86
2020-03-29,63
2020-03-30,41
2020-03-31,58
2020-04-01,43
2020-04-02,58
2020-04-03,42
2020-04-04,59
2020-04-05,62
2020-04-06,34
2020-04-07,26
2020-04-08,45
2020-04-09,18
2020-04-10,90
2020-04-11,50
2020-04-12,59
2020-04-13,60
2020-04-14,50
2020-04-15,70
2020-04-16,36
2020-04-17,80
2020-04-18,26
2020-04-19,27
2020-04-20,33
2020-04-21,61
2020-04-22,54
2020-04-23,52
2020-04-24,43
2020-04-25,19
2020-04-26,40
2020-04-27,17
2020-04-28,24
2020-04-29,25
2020-04-30,24
2020-05-01,17
2020-05-02,35
2020-05-03,18
2020-05-04,48
2020-05-05,31
2020-05-06,26
2020-05-07,36
2020-05-08,36
2020-05-09,19
2020-05-10,37
2020-05-11,0
2020-05-12,17
2020-05-13,51
2020-05-14,34
2020-05-15,27
2020-05-16,20
2020-05-17,31
2020-05-18,26
2020-05-19,0
2020-05-20,27
2020-05-21,40
2020-05-22,34
2020-05-23,36
2020-05-24,37
2020-05-25,17
2020-05-26,27
2020-05-27,18
2020-05-28,17
2020-05-29,18
2020-05-30,0
2020-05-31,20
