date,/m/04f733w
2020-02-01,25
2020-02-02,24
2020-02-03,74
2020-02-04,24
2020-02-05,24
2020-02-06,25
2020-02-07,26
2020-02-08,52
2020-02-09,34
2020-02-10,23
2020-02-11,35
2020-02-12,23
2020-02-13,24
2020-02-14,34
2020-02-15,27
2020-02-16,0
2020-02-17,23
2020-02-18,47
2020-02-19,23
2020-02-20,0
2020-02-21,25
2020-02-22,26
2020-02-23,49
2020-02-24,23
2020-02-25,23
2020-02-26,52
2020-02-27,22
2020-02-28,49
2020-02-29,50
2020-03-01,23
2020-03-02,45
2020-03-03,70
2020-03-04,23
2020-03-05,24
2020-03-06,60
2020-03-07,51
2020-03-08,24
2020-03-09,34
2020-03-10,45
2020-03-11,30
2020-03-12,44
2020-03-13,24
2020-03-14,65
2020-03-15,24
2020-03-16,21
2020-03-17,33
2020-03-18,52
2020-03-19,29
2020-03-20,41
2020-03-21,70
2020-03-22,94
2020-03-23,46
2020-03-24,35
2020-03-25,43
2020-03-26,49
2020-03-27,26
2020-03-28,80
2020-03-29,22
2020-03-30,19
2020-03-31,26
2020-04-01,54
2020-04-02,33
2020-04-03,20
2020-04-04,39
2020-04-05,58
2020-04-06,67
2020-04-07,35
2020-04-08,43
2020-04-09,36
2020-04-10,44
2020-04-11,47
2020-04-12,94
2020-04-13,31
2020-04-14,100
2020-04-15,21
2020-04-16,21
2020-04-17,42
2020-04-18,49
2020-04-19,35
2020-04-20,40
2020-04-21,48
2020-04-22,43
2020-04-23,35
2020-04-24,41
2020-04-25,69
2020-04-26,24
2020-04-27,31
2020-04-28,19
2020-04-29,46
2020-04-30,44
2020-05-01,40
2020-05-02,28
2020-05-03,51
2020-05-04,25
2020-05-05,43
2020-05-06,41
2020-05-07,21
2020-05-08,50
2020-05-09,54
2020-05-10,44
2020-05-11,28
2020-05-12,47
2020-05-13,20
2020-05-14,61
2020-05-15,21
2020-05-16,35
2020-05-17,41
2020-05-18,35
2020-05-19,35
2020-05-20,22
2020-05-21,36
2020-05-22,0
2020-05-23,36
2020-05-24,42
2020-05-25,30
2020-05-26,35
2020-05-27,21
2020-05-28,42
2020-05-29,54
2020-05-30,24
2020-05-31,48
