date,/m/016kf9
2020-02-01,59
2020-02-02,55
2020-02-03,40
2020-02-04,73
2020-02-05,28
2020-02-06,38
2020-02-07,29
2020-02-08,69
2020-02-09,60
2020-02-10,35
2020-02-11,54
2020-02-12,36
2020-02-13,82
2020-02-14,29
2020-02-15,70
2020-02-16,71
2020-02-17,94
2020-02-18,63
2020-02-19,54
2020-02-20,56
2020-02-21,39
2020-02-22,61
2020-02-23,28
2020-02-24,44
2020-02-25,40
2020-02-26,76
2020-02-27,51
2020-02-28,55
2020-02-29,66
2020-03-01,72
2020-03-02,26
2020-03-03,54
2020-03-04,45
2020-03-05,54
2020-03-06,37
2020-03-07,39
2020-03-08,45
2020-03-09,78
2020-03-10,60
2020-03-11,51
2020-03-12,100
2020-03-13,27
2020-03-14,37
2020-03-15,55
2020-03-16,24
2020-03-17,37
2020-03-18,25
2020-03-19,42
2020-03-20,59
2020-03-21,67
2020-03-22,27
2020-03-23,67
2020-03-24,36
2020-03-25,37
2020-03-26,40
2020-03-27,52
2020-03-28,39
2020-03-29,58
2020-03-30,56
2020-03-31,68
2020-04-01,54
2020-04-02,45
2020-04-03,38
2020-04-04,36
2020-04-05,28
2020-04-06,38
2020-04-07,24
2020-04-08,65
2020-04-09,82
2020-04-10,25
2020-04-11,91
2020-04-12,27
2020-04-13,39
2020-04-14,46
2020-04-15,96
2020-04-16,82
2020-04-17,65
2020-04-18,48
2020-04-19,37
2020-04-20,57
2020-04-21,59
2020-04-22,57
2020-04-23,63
2020-04-24,70
2020-04-25,88
2020-04-26,55
2020-04-27,63
2020-04-28,44
2020-04-29,59
2020-04-30,32
2020-05-01,57
2020-05-02,63
2020-05-03,37
2020-05-04,43
2020-05-05,28
2020-05-06,39
2020-05-07,61
2020-05-08,98
2020-05-09,44
2020-05-10,25
2020-05-11,36
2020-05-12,46
2020-05-13,69
2020-05-14,47
2020-05-15,49
2020-05-16,36
2020-05-17,42
2020-05-18,47
2020-05-19,48
2020-05-20,74
2020-05-21,81
2020-05-22,47
2020-05-23,65
2020-05-24,37
2020-05-25,61
2020-05-26,32
2020-05-27,39
2020-05-28,71
2020-05-29,37
2020-05-30,41
2020-05-31,55
