date,/m/0d7gy
2020-02-01,0
2020-02-02,33
2020-02-03,29
2020-02-04,33
2020-02-05,100
2020-02-06,34
2020-02-07,35
2020-02-08,35
2020-02-09,0
2020-02-10,62
2020-02-11,0
2020-02-12,48
2020-02-13,33
2020-02-14,34
2020-02-15,54
2020-02-16,32
2020-02-17,64
2020-02-18,0
2020-02-19,32
2020-02-20,33
2020-02-21,70
2020-02-22,36
2020-02-23,0
2020-02-24,32
2020-02-25,0
2020-02-26,0
2020-02-27,46
2020-02-28,66
2020-02-29,34
2020-03-01,48
2020-03-02,31
2020-03-03,0
2020-03-04,32
2020-03-05,65
2020-03-06,33
2020-03-07,70
2020-03-08,65
2020-03-09,31
2020-03-10,30
2020-03-11,0
2020-03-12,0
2020-03-13,33
2020-03-14,55
2020-03-15,0
2020-03-16,48
2020-03-17,30
2020-03-18,30
2020-03-19,75
2020-03-20,28
2020-03-21,32
2020-03-22,32
2020-03-23,27
2020-03-24,58
2020-03-25,30
2020-03-26,29
2020-03-27,27
2020-03-28,47
2020-03-29,30
2020-03-30,54
2020-03-31,0
2020-04-01,46
2020-04-02,27
2020-04-03,27
2020-04-04,32
2020-04-05,0
2020-04-06,28
2020-04-07,0
2020-04-08,68
2020-04-09,0
2020-04-10,30
2020-04-11,0
2020-04-12,63
2020-04-13,28
2020-04-14,54
2020-04-15,43
2020-04-16,0
2020-04-17,29
2020-04-18,29
2020-04-19,58
2020-04-20,54
2020-04-21,43
2020-04-22,44
2020-04-23,28
2020-04-24,0
2020-04-25,47
2020-04-26,33
2020-04-27,57
2020-04-28,52
2020-04-29,36
2020-04-30,52
2020-05-01,28
2020-05-02,57
2020-05-03,30
2020-05-04,34
2020-05-05,25
2020-05-06,84
2020-05-07,29
2020-05-08,29
2020-05-09,32
2020-05-10,40
2020-05-11,52
2020-05-12,27
2020-05-13,27
2020-05-14,0
2020-05-15,59
2020-05-16,32
2020-05-17,33
2020-05-18,28
2020-05-19,0
2020-05-20,29
2020-05-21,33
2020-05-22,28
2020-05-23,44
2020-05-24,29
2020-05-25,27
2020-05-26,58
2020-05-27,28
2020-05-28,57
2020-05-29,0
2020-05-30,32
2020-05-31,33
