date,/m/02_863
2020-02-01,0
2020-02-02,34
2020-02-03,0
2020-02-04,100
2020-02-05,34
2020-02-06,0
2020-02-07,0
2020-02-08,36
2020-02-09,32
2020-02-10,32
2020-02-11,33
2020-02-12,49
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,33
2020-02-18,33
2020-02-19,33
2020-02-20,0
2020-02-21,35
2020-02-22,55
2020-02-23,0
2020-02-24,0
2020-02-25,33
2020-02-26,62
2020-02-27,31
2020-02-28,0
2020-02-29,35
2020-03-01,66
2020-03-02,63
2020-03-03,33
2020-03-04,0
2020-03-05,33
2020-03-06,34
2020-03-07,35
2020-03-08,33
2020-03-09,32
2020-03-10,32
2020-03-11,31
2020-03-12,61
2020-03-13,67
2020-03-14,45
2020-03-15,79
2020-03-16,79
2020-03-17,77
2020-03-18,31
2020-03-19,30
2020-03-20,48
2020-03-21,49
2020-03-22,50
2020-03-23,41
2020-03-24,30
2020-03-25,45
2020-03-26,59
2020-03-27,82
2020-03-28,54
2020-03-29,30
2020-03-30,27
2020-03-31,28
2020-04-01,43
2020-04-02,28
2020-04-03,28
2020-04-04,33
2020-04-05,52
2020-04-06,28
2020-04-07,29
2020-04-08,30
2020-04-09,31
2020-04-10,0
2020-04-11,67
2020-04-12,67
2020-04-13,29
2020-04-14,37
2020-04-15,29
2020-04-16,0
2020-04-17,0
2020-04-18,29
2020-04-19,45
2020-04-20,0
2020-04-21,29
2020-04-22,30
2020-04-23,44
2020-04-24,29
2020-04-25,32
2020-04-26,33
2020-04-27,29
2020-04-28,27
2020-04-29,27
2020-04-30,26
2020-05-01,56
2020-05-02,29
2020-05-03,31
2020-05-04,44
2020-05-05,35
2020-05-06,29
2020-05-07,60
2020-05-08,30
2020-05-09,32
2020-05-10,77
2020-05-11,27
2020-05-12,55
2020-05-13,28
2020-05-14,28
2020-05-15,30
2020-05-16,33
2020-05-17,51
2020-05-18,29
2020-05-19,0
2020-05-20,0
2020-05-21,33
2020-05-22,29
2020-05-23,30
2020-05-24,31
2020-05-25,28
2020-05-26,30
2020-05-27,43
2020-05-28,0
2020-05-29,31
2020-05-30,33
2020-05-31,34
