date,/g/1yxkhgd6l
2020-02-01,25
2020-02-02,57
2020-02-03,24
2020-02-04,30
2020-02-05,27
2020-02-06,25
2020-02-07,40
2020-02-08,47
2020-02-09,32
2020-02-10,32
2020-02-11,26
2020-02-12,39
2020-02-13,40
2020-02-14,27
2020-02-15,37
2020-02-16,36
2020-02-17,29
2020-02-18,49
2020-02-19,26
2020-02-20,34
2020-02-21,39
2020-02-22,29
2020-02-23,38
2020-02-24,32
2020-02-25,36
2020-02-26,56
2020-02-27,22
2020-02-28,56
2020-02-29,59
2020-03-01,39
2020-03-02,22
2020-03-03,26
2020-03-04,36
2020-03-05,33
2020-03-06,30
2020-03-07,43
2020-03-08,46
2020-03-09,38
2020-03-10,28
2020-03-11,37
2020-03-12,28
2020-03-13,40
2020-03-14,54
2020-03-15,51
2020-03-16,44
2020-03-17,40
2020-03-18,40
2020-03-19,49
2020-03-20,43
2020-03-21,55
2020-03-22,76
2020-03-23,36
2020-03-24,53
2020-03-25,36
2020-03-26,53
2020-03-27,47
2020-03-28,100
2020-03-29,72
2020-03-30,49
2020-03-31,50
2020-04-01,62
2020-04-02,58
2020-04-03,42
2020-04-04,66
2020-04-05,52
2020-04-06,68
2020-04-07,47
2020-04-08,66
2020-04-09,66
2020-04-10,58
2020-04-11,100
2020-04-12,62
2020-04-13,100
2020-04-14,70
2020-04-15,41
2020-04-16,78
2020-04-17,53
2020-04-18,79
2020-04-19,98
2020-04-20,61
2020-04-21,66
2020-04-22,78
2020-04-23,67
2020-04-24,77
2020-04-25,74
2020-04-26,70
2020-04-27,40
2020-04-28,61
2020-04-29,52
2020-04-30,53
2020-05-01,59
2020-05-02,58
2020-05-03,67
2020-05-04,37
2020-05-05,54
2020-05-06,57
2020-05-07,54
2020-05-08,36
2020-05-09,58
2020-05-10,46
2020-05-11,45
2020-05-12,61
2020-05-13,53
2020-05-14,37
2020-05-15,24
2020-05-16,53
2020-05-17,68
2020-05-18,29
2020-05-19,38
2020-05-20,84
2020-05-21,53
2020-05-22,60
2020-05-23,72
2020-05-24,54
2020-05-25,31
2020-05-26,47
2020-05-27,46
2020-05-28,38
2020-05-29,33
2020-05-30,50
2020-05-31,78
