date,/m/0d05w3
2020-02-01,48
2020-02-02,55
2020-02-03,51
2020-02-04,46
2020-02-05,38
2020-02-06,37
2020-02-07,30
2020-02-08,47
2020-02-09,26
2020-02-10,23
2020-02-11,35
2020-02-12,30
2020-02-13,31
2020-02-14,32
2020-02-15,32
2020-02-16,27
2020-02-17,20
2020-02-18,32
2020-02-19,26
2020-02-20,27
2020-02-21,30
2020-02-22,27
2020-02-23,34
2020-02-24,37
2020-02-25,32
2020-02-26,36
2020-02-27,29
2020-02-28,39
2020-02-29,35
2020-03-01,43
2020-03-02,45
2020-03-03,43
2020-03-04,44
2020-03-05,38
2020-03-06,32
2020-03-07,32
2020-03-08,41
2020-03-09,25
2020-03-10,40
2020-03-11,40
2020-03-12,60
2020-03-13,65
2020-03-14,72
2020-03-15,82
2020-03-16,91
2020-03-17,61
2020-03-18,75
2020-03-19,100
2020-03-20,68
2020-03-21,68
2020-03-22,58
2020-03-23,47
2020-03-24,59
2020-03-25,45
2020-03-26,48
2020-03-27,62
2020-03-28,52
2020-03-29,53
2020-03-30,58
2020-03-31,38
2020-04-01,41
2020-04-02,52
2020-04-03,70
2020-04-04,51
2020-04-05,41
2020-04-06,23
2020-04-07,28
2020-04-08,41
2020-04-09,33
2020-04-10,31
2020-04-11,33
2020-04-12,46
2020-04-13,56
2020-04-14,45
2020-04-15,40
2020-04-16,17
2020-04-17,41
2020-04-18,44
2020-04-19,41
2020-04-20,21
2020-04-21,27
2020-04-22,29
2020-04-23,37
2020-04-24,41
2020-04-25,45
2020-04-26,37
2020-04-27,26
2020-04-28,26
2020-04-29,32
2020-04-30,28
2020-05-01,26
2020-05-02,34
2020-05-03,26
2020-05-04,23
2020-05-05,30
2020-05-06,30
2020-05-07,29
2020-05-08,32
2020-05-09,17
2020-05-10,35
2020-05-11,29
2020-05-12,30
2020-05-13,29
2020-05-14,23
2020-05-15,19
2020-05-16,27
2020-05-17,25
2020-05-18,25
2020-05-19,24
2020-05-20,31
2020-05-21,20
2020-05-22,21
2020-05-23,27
2020-05-24,23
2020-05-25,20
2020-05-26,20
2020-05-27,15
2020-05-28,12
2020-05-29,24
2020-05-30,26
2020-05-31,19
