date,/m/09x8z
2020-02-01,88
2020-02-02,100
2020-02-03,69
2020-02-04,44
2020-02-05,34
2020-02-06,87
2020-02-07,60
2020-02-08,27
2020-02-09,37
2020-02-10,48
2020-02-11,60
2020-02-12,27
2020-02-13,72
2020-02-14,47
2020-02-15,55
2020-02-16,54
2020-02-17,71
2020-02-18,76
2020-02-19,33
2020-02-20,28
2020-02-21,47
2020-02-22,54
2020-02-23,62
2020-02-24,32
2020-02-25,38
2020-02-26,41
2020-02-27,78
2020-02-28,51
2020-02-29,46
2020-03-01,87
2020-03-02,42
2020-03-03,54
2020-03-04,87
2020-03-05,71
2020-03-06,50
2020-03-07,24
2020-03-08,27
2020-03-09,47
2020-03-10,73
2020-03-11,72
2020-03-12,41
2020-03-13,33
2020-03-14,42
2020-03-15,39
2020-03-16,44
2020-03-17,20
2020-03-18,26
2020-03-19,40
2020-03-20,48
2020-03-21,49
2020-03-22,38
2020-03-23,27
2020-03-24,34
2020-03-25,37
2020-03-26,51
2020-03-27,64
2020-03-28,43
2020-03-29,30
2020-03-30,64
2020-03-31,35
2020-04-01,42
2020-04-02,48
2020-04-03,51
2020-04-04,44
2020-04-05,35
2020-04-06,42
2020-04-07,58
2020-04-08,64
2020-04-09,40
2020-04-10,46
2020-04-11,39
2020-04-12,54
2020-04-13,43
2020-04-14,51
2020-04-15,53
2020-04-16,65
2020-04-17,49
2020-04-18,63
2020-04-19,64
2020-04-20,64
2020-04-21,50
2020-04-22,67
2020-04-23,43
2020-04-24,52
2020-04-25,43
2020-04-26,50
2020-04-27,24
2020-04-28,40
2020-04-29,72
2020-04-30,66
2020-05-01,60
2020-05-02,48
2020-05-03,81
2020-05-04,44
2020-05-05,47
2020-05-06,29
2020-05-07,60
2020-05-08,64
2020-05-09,59
2020-05-10,45
2020-05-11,39
2020-05-12,74
2020-05-13,51
2020-05-14,66
2020-05-15,50
2020-05-16,49
2020-05-17,73
2020-05-18,43
2020-05-19,73
2020-05-20,52
2020-05-21,50
2020-05-22,47
2020-05-23,30
2020-05-24,60
2020-05-25,42
2020-05-26,34
2020-05-27,62
2020-05-28,43
2020-05-29,40
2020-05-30,72
2020-05-31,39
