date,/m/03cq447
2020-02-01,71
2020-02-02,45
2020-02-03,57
2020-02-04,53
2020-02-05,49
2020-02-06,60
2020-02-07,74
2020-02-08,90
2020-02-09,56
2020-02-10,40
2020-02-11,41
2020-02-12,59
2020-02-13,68
2020-02-14,63
2020-02-15,67
2020-02-16,59
2020-02-17,70
2020-02-18,48
2020-02-19,56
2020-02-20,30
2020-02-21,60
2020-02-22,58
2020-02-23,42
2020-02-24,58
2020-02-25,58
2020-02-26,52
2020-02-27,63
2020-02-28,95
2020-02-29,74
2020-03-01,33
2020-03-02,32
2020-03-03,51
2020-03-04,58
2020-03-05,67
2020-03-06,49
2020-03-07,64
2020-03-08,78
2020-03-09,39
2020-03-10,56
2020-03-11,60
2020-03-12,100
2020-03-13,60
2020-03-14,49
2020-03-15,84
2020-03-16,30
2020-03-17,38
2020-03-18,56
2020-03-19,61
2020-03-20,58
2020-03-21,76
2020-03-22,52
2020-03-23,53
2020-03-24,63
2020-03-25,74
2020-03-26,63
2020-03-27,99
2020-03-28,57
2020-03-29,68
2020-03-30,80
2020-03-31,77
2020-04-01,48
2020-04-02,74
2020-04-03,50
2020-04-04,52
2020-04-05,82
2020-04-06,63
2020-04-07,62
2020-04-08,74
2020-04-09,54
2020-04-10,78
2020-04-11,90
2020-04-12,66
2020-04-13,70
2020-04-14,38
2020-04-15,53
2020-04-16,64
2020-04-17,70
2020-04-18,49
2020-04-19,60
2020-04-20,84
2020-04-21,29
2020-04-22,98
2020-04-23,52
2020-04-24,61
2020-04-25,68
2020-04-26,56
2020-04-27,36
2020-04-28,74
2020-04-29,68
2020-04-30,50
2020-05-01,50
2020-05-02,68
2020-05-03,31
2020-05-04,53
2020-05-05,41
2020-05-06,48
2020-05-07,50
2020-05-08,44
2020-05-09,51
2020-05-10,58
2020-05-11,41
2020-05-12,54
2020-05-13,41
2020-05-14,64
2020-05-15,40
2020-05-16,44
2020-05-17,65
2020-05-18,36
2020-05-19,62
2020-05-20,34
2020-05-21,60
2020-05-22,64
2020-05-23,84
2020-05-24,51
2020-05-25,44
2020-05-26,56
2020-05-27,72
2020-05-28,52
2020-05-29,37
2020-05-30,63
2020-05-31,72
