date,/m/0jwqt
2020-02-01,39
2020-02-02,49
2020-02-03,54
2020-02-04,0
2020-02-05,37
2020-02-06,0
2020-02-07,27
2020-02-08,27
2020-02-09,58
2020-02-10,35
2020-02-11,49
2020-02-12,24
2020-02-13,0
2020-02-14,26
2020-02-15,55
2020-02-16,48
2020-02-17,48
2020-02-18,49
2020-02-19,48
2020-02-20,50
2020-02-21,26
2020-02-22,0
2020-02-23,50
2020-02-24,59
2020-02-25,24
2020-02-26,46
2020-02-27,34
2020-02-28,25
2020-02-29,25
2020-03-01,73
2020-03-02,58
2020-03-03,24
2020-03-04,47
2020-03-05,24
2020-03-06,25
2020-03-07,52
2020-03-08,24
2020-03-09,0
2020-03-10,46
2020-03-11,23
2020-03-12,22
2020-03-13,0
2020-03-14,25
2020-03-15,49
2020-03-16,44
2020-03-17,45
2020-03-18,23
2020-03-19,0
2020-03-20,21
2020-03-21,24
2020-03-22,25
2020-03-23,20
2020-03-24,65
2020-03-25,22
2020-03-26,43
2020-03-27,50
2020-03-28,59
2020-03-29,0
2020-03-30,100
2020-03-31,60
2020-04-01,31
2020-04-02,40
2020-04-03,82
2020-04-04,0
2020-04-05,51
2020-04-06,52
2020-04-07,54
2020-04-08,88
2020-04-09,67
2020-04-10,45
2020-04-11,73
2020-04-12,36
2020-04-13,21
2020-04-14,31
2020-04-15,54
2020-04-16,22
2020-04-17,44
2020-04-18,53
2020-04-19,22
2020-04-20,31
2020-04-21,64
2020-04-22,44
2020-04-23,21
2020-04-24,21
2020-04-25,71
2020-04-26,25
2020-04-27,32
2020-04-28,39
2020-04-29,81
2020-04-30,39
2020-05-01,31
2020-05-02,32
2020-05-03,68
2020-05-04,39
2020-05-05,48
2020-05-06,73
2020-05-07,22
2020-05-08,44
2020-05-09,24
2020-05-10,34
2020-05-11,29
2020-05-12,84
2020-05-13,21
2020-05-14,52
2020-05-15,33
2020-05-16,24
2020-05-17,50
2020-05-18,64
2020-05-19,43
2020-05-20,22
2020-05-21,49
2020-05-22,42
2020-05-23,44
2020-05-24,33
2020-05-25,51
2020-05-26,21
2020-05-27,43
2020-05-28,0
2020-05-29,56
2020-05-30,0
2020-05-31,25
